国家,号码,备注
中国,4000668787,中文提示音
中国,8008708787,中文提示音
中国,4000961166,英文提示音
中国,8008701166,英文提示音
全球接入号,86-10-56294500,中文提示音
全球接入号,86-10-56294533,英文提示音
哥伦比亚,018005183919,国际免费接入
澳大利亚,1800178089,国际免费接入
希腊,0080016122078123,国际免费接入
德国,08001818309,国际免费接入
法国,0800914661,国际免费接入
香港,800905852,国际免费接入
爱尔兰,1800904151,国际免费接入
美国/加拿大,18553465816,国际免费接入
新加坡,8001013073,国际免费接入
台湾,00801127517,国际免费接入
日本,00531161401,国际免费接入
马来西亚,1800817163,国际免费接入
韩国,00798142072861,国际免费接入
比利时,080073542,国际免费接入
加拿大,18553465818,国际免费接入
新西兰,0800452300,国际免费接入
挪威,80069107,国际免费接入
波兰,008001124597,国际免费接入
南非,0800992090,国际免费接入
西班牙,900834251,国际免费接入
瑞典,0200910207,国际免费接入
泰国,0018001562077414,国际免费接入
意大利,800877299,国际免费接入
克罗地亚,08009303,国际免费接入
英国,08007563777,国际免费接入
美国,16465687678,本地接入号码
台湾,05068648094,本地接入号码
日本,886277080716,本地接入号码
丹麦,80252259,国际免费接入
墨西哥,018001122675 ,国际免费接入
荷兰,08000228376,国际免费接入
巴西,08002825755,国际免费接入
捷克,800222514,国际免费接入
俄罗斯,88001008528,国际免费接入
沙特阿拉伯,8008500173,国际免费接入
印度,0008001008624,国际免费接入
印尼,0018030207413,国际免费接入
阿联酋,800035703462,国际免费接入
瑞士,0800556687,国际免费接入
英国,442070970370,本地接入号码
韩国,0222580904,本地接入号码
