Country,Number,Remark
China,4000668787,Chinese Prompt
China,8008708787,Chinese Prompt
China,4000961166,English Prompt
China,8008701166,English Prompt
International Dial In,86-10-56294500,Chinese Prompt
International Dial In,86-10-56294533,English Prompt
Columbia,018005183919,ITFS
Australia,1800178089,ITFS
Greece,0080016122078123,ITFS
Germany,08001818309,ITFS
France,0800914661,ITFS
Hongkong,800905852,ITFS
Ireland,1800904151,ITFS
USA/Canada,18553465816,ITFS
Singapore,8001013073,ITFS
Taiwan,00801127517,ITFS
Japan,00531161401,ITFS
Malaysia,1800817163,ITFS
Korea,00798142072861,ITFS
Belgium,080073542,ITFS
Canada,18553465818,ITFS
New Zealand,0800452300,ITFS
Norway,80069107,ITFS
Poland,008001124597,ITFS
South Africa,0800992090,ITFS
Spain,900834251,ITFS
Sweden,0200910207,ITFS
Thailand,0018001562077414,ITFS
Italy,800877299,ITFS
Croatia,08009303,ITFS
Britain,08007563777,ITFS
USA,16465687678,Local Connect Number
Taiwan,05068648094,Local Connect Number
Japan,886277080716,Local Connect Number
Denmark,80252259,ITFS
Mexico,018001122675 ,ITFS
Netherlands,08000228376,ITFS
Brazil,08002825755,ITFS
Czech,800222514,ITFS
Russian,88001008528,ITFS
Saudi Arabia,8008500173,ITFS
India,0008001008624,ITFS
Indonesia,0018030207413,ITFS
United Arab Emirates,800035703462,ITFS
Switzerland,0800556687,ITFS
Britain,442070970370,Local Connect Number
Korea,0222580904,Local Connect Number
